"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.25688079673528,0.242834555296704,0.132397297869706,0,0,0,0,0,0.127824629427102,0,0,0,0.069615547379931,0.103310073108329,0.0934467429303616,0.123857987510926,0.1468748472241,0.188957390561581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351185763499742,0,0,0,0.0606978661071924,0,0.0840020815444905,0,0,0,0
"2",0.242834555296704,0.304305629774354,0.158352552633463,0,0,0,0.0783180167990148,0,0.116933753618714,0,0.112131466710627,0,0.0755124545299308,0.140567432296579,0.10880425515544,0.136931639741554,0.167868012748131,0.22884772082287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088553535164014,0,0,0,0.0593996232483624,0,0.103425566162701,0,0,0,0
"3",0.132397297869706,0.158352552633463,0.232975285556853,0,0,0,0,0,0.0958475609334374,0,0,0,0,0.111957488170519,0.0858069733269878,0.0763636097676378,0.0707906927058265,0.119626681144342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0.16740691396723,0.105558925313611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113779644578785,0,0,0,0.0934210527325163,0,0,0,0,0,0.146815353447106,0.105959717406396
"5",0,0,0,0.105558925313611,0.203307715882355,0.092628254910784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108061336560234,0,0,0,0.110622218280219,0,0,0,0.111744470389058,0.0859229123053,0.172748078543407,0.113752306433889
"6",0,0,0,0,0.092628254910784,0.217879135768519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132042980379825,0,0,0,0.0868669430106727,0,0,0,0,0,0.104433216720589,0
"7",0,0.0783180167990148,0,0,0,0,0.23345665609494,0,0,0,0,0,0,0,0,0,0,0.0870550640013859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097834687816818,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0.217157036931851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948866483220823,0,0,0,0,0,0,0,0,0,0.10265875064782,0
"9",0.127824629427102,0.116933753618714,0.0958475609334374,0,0,0,0,0,0.218032386334395,0,0,0.133105273821858,0,0,0.124294477073085,0.101271289652871,0.0675663205071174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.226796137510999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0.112131466710627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0.133105273821858,0,0,0.212938154167973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0.069615547379931,0.0755124545299308,0,0,0,0,0,0,0,0,0,0,0.184655302842155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.103310073108329,0.140567432296579,0.111957488170519,0,0,0,0,0,0,0,0,0,0,0.219870477599466,0,0.0821988328071835,0.105617692851259,0.146493074294334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0.0934467429303616,0.10880425515544,0.0858069733269878,0,0,0,0,0,0.124294477073085,0,0,0,0,0,0.235463398350583,0.0726095168587217,0,0.0623158952634307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0.123857987510926,0.136931639741554,0.0763636097676378,0,0,0,0,0,0.101271289652871,0,0,0,0,0.0821988328071835,0.0726095168587217,0.19947712217369,0.0959979702861945,0.10612091532817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668474430272021,0,0,0,0
"17",0.1468748472241,0.167868012748131,0.0707906927058265,0,0,0,0,0,0.0675663205071174,0,0,0,0,0.105617692851259,0,0.0959979702861945,0.222182827668392,0.162474431954992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767746566791926,0,0,0,0
"18",0.188957390561581,0.22884772082287,0.119626681144342,0,0,0,0.0870550640013859,0,0,0,0,0,0,0.146493074294334,0.0623158952634307,0.10612091532817,0.162474431954992,0.286742835469174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109267801444503,0.0915301451668108,0,0,0,0,0,0.0935798610291632,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209502033794045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
