"Identifier","theta_error_Mean","theta_error_SD","b_error_Mean","b_error_SD","sensitivity_Mean","sensitivity_SD","specificity_Mean","specificity_SD","F1_Mean","F1_SD"
"logi_2_0.1_400","2.03","2.38","3.47","2.36","0.99","0.02","1","0","0.99","0.02"
"logi_2_0.1","2.27","3.1","4.12","2.22","0.99","0.01","1","0","0.99","0.01"
"logi_2_0.2_400","3.32","4.41","4.73","2.81","0.99","0.01","1","0","0.99","0.01"
"logi_2_0.2","3.35","4.33","5.64","2.86","0.99","0.01","1","0","0.99","0.01"
"logi_3_0.1_400","3.52","4.03","5.4","2.33","0.99","0.01","1","0","0.99","0.01"
"logi_3_0.1","2.33","2.02","9.18","3.25","0.99","0.01","1","0","0.99","0.01"
"logi_3_0.2_400","5.09","3.2","6.59","3.49","0.97","0.02","1","0","0.97","0.02"
"logi_3_0.2","2.64","2.07","11.23","3.61","0.99","0.01","1","0","0.99","0.01"
