"Identifier","theta_error_Mean","theta_error_SD","b_error_Mean","b_error_SD","sensitivity_Mean","sensitivity_SD","specificity_Mean","specificity_SD","F1_Mean","F1_SD"
"logi_2_0.1_400","13.58","2.02","42.28","0.01","0.62","0.03","1","0","0.76","0.02"
"logi_2_0.1","12.94","1.78","42.29","0.01","0.56","0.04","1","0","0.72","0.03"
"logi_2_0.2_400","17.32","2.41","59.82","0.01","0.57","0.03","1","0","0.73","0.03"
"logi_2_0.2","17.79","3.57","59.84","0.01","0.47","0.05","1","0","0.64","0.04"
"logi_3_0.1_400","15.46","2.04","42.28","0.01","0.62","0.03","1","0","0.77","0.03"
"logi_3_0.1","15.84","1.71","42.3","0.01","0.52","0.04","1","0","0.68","0.04"
"logi_3_0.2_400","21.98","2.74","59.85","0.04","0.54","0.03","1","0","0.7","0.03"
"logi_3_0.2","21.63","2.38","59.85","0.01","0.43","0.02","1","0","0.61","0.02"
