"Identifier","theta_error_Mean","theta_error_SD","b_error_Mean","b_error_SD","sensitivity_Mean","sensitivity_SD","specificity_Mean","specificity_SD","F1_Mean","F1_SD"
"logi_2_0.1_400","13.58","2.02","42.28","0.01","0.59","0.03","1","0","0.74","0.03"
"logi_2_0.1","12.92","1.82","42.28","0.01","0.51","0.04","1","0","0.67","0.04"
"logi_2_0.2_400","17.32","2.41","59.82","0.01","0.52","0.04","1","0","0.69","0.03"
"logi_2_0.2","17.79","3.57","59.85","0.01","0.39","0.03","1","0","0.56","0.03"
"logi_3_0.1_400","15.45","2.01","42.28","0.01","0.58","0.04","1","0","0.74","0.03"
"logi_3_0.1","15.84","1.71","42.3","0.02","0.45","0.05","1","0","0.62","0.05"
"logi_3_0.2_400","21.86","2.52","59.84","0.01","0.48","0.04","1","0","0.65","0.03"
"logi_3_0.2","21.63","2.38","59.85","0.01","0.37","0.04","1","0","0.54","0.04"
