"Identifier","theta_error_Mean","theta_error_SD","b_error_Mean","b_error_SD","sensitivity_Mean","sensitivity_SD","specificity_Mean","specificity_SD","F1_Mean","F1_SD"
"linear_2_0.1_400","4.14","1.12","3.48","1.81","0.36","0.01","0.46","0.01","0.2","0"
"linear_2_0.1","0.59","0.09","5.84","2.34","0.99","0.01","1","0","0.99","0.01"
"linear_2_0.2_400","0.83","0.15","4.01","1.77","0.98","0.01","1","0","0.98","0.01"
"linear_2_0.2","0.7","0.08","6.63","3.01","1","0","1","0","1","0"
"linear_3_0.1_400","0.86","0.17","6.57","2.7","0.99","0.01","1","0","0.99","0.01"
"linear_3_0.1","1.22","0.29","9.08","2.57","0.97","0.02","1","0","0.97","0.02"
"linear_3_0.2_400","1.48","0.38","6.02","2.5","0.96","0.02","1","0","0.96","0.02"
"linear_3_0.2","1.22","0.22","9.48","3.17","0.99","0.01","1","0","0.99","0.01"
