"Identifier","theta_error_Mean","theta_error_SD","b_error_Mean","b_error_SD","sensitivity_Mean","sensitivity_SD","specificity_Mean","specificity_SD","F1_Mean","F1_SD"
"linear_2_0.1_400","2.45","0.58","37.38","0.21","0.23","0.01","0.29","0.01","0.06","0"
"linear_2_0.1","2.91","0.81","37.11","0.25","0.24","0.01","0.29","0.01","0.06","0"
"linear_2_0.2_400","3.18","0.6","48.43","0.37","0.35","0.01","0.44","0.01","0.2","0"
"linear_2_0.2","3.91","1.04","48.13","0.45","0.36","0.01","0.45","0.01","0.2","0.01"
"linear_3_0.1_400","2.75","0.34","35.63","0.31","0.3","0.01","0.27","0.01","0.08","0"
"linear_3_0.1","3.2","0.54","35.46","0.38","0.31","0.02","0.3","0.01","0.08","0"
"linear_3_0.2_400","3.15","0.63","48.21","0.41","0.36","0.01","0.44","0.01","0.2","0.01"
"linear_3_0.2","4.14","1.12","48.15","0.38","0.36","0.01","0.46","0.01","0.2","0"
